ruta,distancia
"Mataró -> España, Islas Baleares, Palma -> España, Pamplona -> España, Castellón -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5516.12
"Mataró -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Lugo -> España, Guadalajara -> España, Palencia -> España, Sevilla -> España, Las Palmas",5532.35
"Mataró -> España, Castellón -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Pamplona -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5536.7
"Mataró -> España, Pamplona -> España, Lugo -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Palencia -> España, Sevilla -> España, Las Palmas",5537.0
"Mataró -> España, Pamplona -> España, Lugo -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Palencia -> España, Sevilla -> España, Las Palmas",5538.109999999999
"Mataró -> España, Castellón -> España, Guadalajara -> España, Pamplona -> España, Islas Baleares, Palma -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",5538.3099999999995
"Mataró -> España, Guadalajara -> España, Palencia -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Lugo -> España, Sevilla -> España, Las Palmas",5547.8099999999995
"Mataró -> España, Guadalajara -> España, Palencia -> España, Pamplona -> España, Lugo -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5550.839999999999
"Mataró -> España, Guadalajara -> España, Palencia -> España, Pamplona -> España, Lugo -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5551.95
"Mataró -> España, Castellón -> España, Pamplona -> España, Islas Baleares, Palma -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5555.63
"Mataró -> España, Islas Baleares, Palma -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Guadalajara -> España, Castellón -> España, Sevilla -> España, Las Palmas",5555.88
"Mataró -> España, Guadalajara -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5556.35
"Mataró -> España, Castellón -> España, Palencia -> España, Lugo -> España, Pamplona -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5557.35
"Mataró -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Castellón -> España, Sevilla -> España, Las Palmas",5561.650000000001
"Mataró -> España, Palencia -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Lugo -> España, Sevilla -> España, Las Palmas",5567.54
